2024-08-22 22:57:07.780 [info] Starting Python Locator /home/vasant_sam/.vscode-server/extensions/ms-python.python-2024.12.3-linux-x64/python-env-tools/bin/pet server
2024-08-22 22:57:09.422 [info] Discovered env: /home/vasant_sam/.env/bin/python
2024-08-22 22:57:09.425 [info] Discovered env: /bin/python3
2024-08-22 22:57:09.425 [info] Discovered env: /usr/bin/python3
2024-08-22 22:57:15.055 [info] Locator Conda took 7.198835723s
2024-08-22 22:57:15.055 [info] Locator Homebrew took 351.9µs
2024-08-22 22:57:15.055 [info] Locator LinuxGlobal took 161.061002ms
2024-08-22 22:57:15.055 [info] Locator PipEnv took 1.462001ms
2024-08-22 22:57:15.055 [info] Locator Poetry took 89.139856ms
2024-08-22 22:57:15.055 [info] Locator PyEnv took 67.873443ms
2024-08-22 22:57:15.055 [info] Locator Venv took 2.444101ms
2024-08-22 22:57:15.055 [info] Locator VirtualEnv took 417.1µs
2024-08-22 22:57:15.055 [info] Locator VirtualEnvWrapper took 1.111901ms
2024-08-22 22:57:15.055 [info] Locator GlobalVirtualEnvs took 6.961804ms
2024-08-22 22:57:15.055 [info] Locator Locators took 7.200542624s
2024-08-22 22:57:15.055 [info] Locator Path took 950.341202ms
2024-08-22 22:57:15.055 [info] Locator Workspaces took 7.427505ms
2024-08-22 22:57:15.056 [info] Refresh completed in 7200ms
