2024-09-17 22:48:58.827 [info] Starting Python Locator /home/vasant_sam/.vscode-server/extensions/ms-python.python-2024.12.3-linux-x64/python-env-tools/bin/pet server
2024-09-17 22:48:59.278 [info] Discovered env: /usr/bin/python3
2024-09-17 22:48:59.281 [info] Discovered env: /bin/python3
2024-09-17 22:49:06.552 [info] Locator Conda took 8.886425133s
2024-09-17 22:49:06.552 [info] Locator Homebrew took 266.9µs
2024-09-17 22:49:06.553 [info] Locator LinuxGlobal took 73.1387ms
2024-09-17 22:49:06.553 [info] Locator PipEnv took 30.4µs
2024-09-17 22:49:06.553 [info] Locator Poetry took 96.2637ms
2024-09-17 22:49:06.553 [info] Locator PyEnv took 95.0836ms
2024-09-17 22:49:06.553 [info] Locator Venv took 28.1µs
2024-09-17 22:49:06.553 [info] Locator VirtualEnv took 3.3632ms
2024-09-17 22:49:06.553 [info] Locator VirtualEnvWrapper took 109.3µs
2024-09-17 22:49:06.553 [info] Locator GlobalVirtualEnvs took 2.0628ms
2024-09-17 22:49:06.553 [info] Locator Locators took 8.887784533s
2024-09-17 22:49:06.553 [info] Locator Path took 744.9253ms
2024-09-17 22:49:06.553 [info] Locator Workspaces took 2.7µs
2024-09-17 22:49:06.554 [info] Refresh completed in 8888ms
